Starting 2D Brusselator Simulation...
Grid: 40x40
Domain: 0.195m x 0.195m
Method: Implicit Euler (Newton)
Reactions: Enabled
Time step: dt = 0.01 s
Applied initial perturbations.
Assembling sparse matrices...
Starting time integration...
Time: 0.100 s | Step: 10 | Newton Iterations: 2
Time: 0.200 s | Step: 20 | Newton Iterations: 2
Time: 0.300 s | Step: 30 | Newton Iterations: 2
Time: 0.400 s | Step: 40 | Newton Iterations: 2
Time: 0.500 s | Step: 50 | Newton Iterations: 2
Time: 0.600 s | Step: 60 | Newton Iterations: 1
Time: 0.700 s | Step: 70 | Newton Iterations: 2
Time: 0.800 s | Step: 80 | Newton Iterations: 2
Time: 0.900 s | Step: 90 | Newton Iterations: 2
Time: 1.000 s | Step: 100 | Newton Iterations: 2
Time: 1.100 s | Step: 110 | Newton Iterations: 1
Time: 1.200 s | Step: 120 | Newton Iterations: 1
Time: 1.300 s | Step: 130 | Newton Iterations: 1
Time: 1.400 s | Step: 140 | Newton Iterations: 1
Time: 1.500 s | Step: 150 | Newton Iterations: 1
Time: 1.600 s | Step: 160 | Newton Iterations: 1
Time: 1.700 s | Step: 170 | Newton Iterations: 1
Time: 1.800 s | Step: 180 | Newton Iterations: 1
Time: 1.900 s | Step: 190 | Newton Iterations: 1
Time: 2.000 s | Step: 200 | Newton Iterations: 1
Time: 2.100 s | Step: 210 | Newton Iterations: 1
Time: 2.200 s | Step: 220 | Newton Iterations: 1
Time: 2.300 s | Step: 230 | Newton Iterations: 1
Time: 2.400 s | Step: 240 | Newton Iterations: 1
Time: 2.500 s | Step: 250 | Newton Iterations: 1
Time: 2.600 s | Step: 260 | Newton Iterations: 1
Time: 2.700 s | Step: 270 | Newton Iterations: 1
Time: 2.800 s | Step: 280 | Newton Iterations: 1
Time: 2.900 s | Step: 290 | Newton Iterations: 1
Time: 3.000 s | Step: 300 | Newton Iterations: 1
Time: 3.100 s | Step: 310 | Newton Iterations: 1
Time: 3.200 s | Step: 320 | Newton Iterations: 1
Time: 3.300 s | Step: 330 | Newton Iterations: 1
Time: 3.400 s | Step: 340 | Newton Iterations: 1
Time: 3.500 s | Step: 350 | Newton Iterations: 1
Time: 3.600 s | Step: 360 | Newton Iterations: 1
Time: 3.700 s | Step: 370 | Newton Iterations: 1
Time: 3.800 s | Step: 380 | Newton Iterations: 1
Time: 3.900 s | Step: 390 | Newton Iterations: 1
Time: 4.000 s | Step: 400 | Newton Iterations: 1
Time: 4.100 s | Step: 410 | Newton Iterations: 1
Time: 4.200 s | Step: 420 | Newton Iterations: 1
Time: 4.300 s | Step: 430 | Newton Iterations: 1
Time: 4.400 s | Step: 440 | Newton Iterations: 1
Time: 4.500 s | Step: 450 | Newton Iterations: 1
Time: 4.600 s | Step: 460 | Newton Iterations: 1
Time: 4.700 s | Step: 470 | Newton Iterations: 1
Time: 4.800 s | Step: 480 | Newton Iterations: 1
Time: 4.900 s | Step: 490 | Newton Iterations: 1
Time: 5.000 s | Step: 500 | Newton Iterations: 1
Time: 5.100 s | Step: 510 | Newton Iterations: 1
Time: 5.200 s | Step: 520 | Newton Iterations: 1
Time: 5.300 s | Step: 530 | Newton Iterations: 1
Time: 5.400 s | Step: 540 | Newton Iterations: 1
Time: 5.500 s | Step: 550 | Newton Iterations: 1
Time: 5.600 s | Step: 560 | Newton Iterations: 1
Time: 5.700 s | Step: 570 | Newton Iterations: 1
Time: 5.800 s | Step: 580 | Newton Iterations: 1
Time: 5.900 s | Step: 590 | Newton Iterations: 1
Time: 6.000 s | Step: 600 | Newton Iterations: 1
Time: 6.100 s | Step: 610 | Newton Iterations: 1
Time: 6.200 s | Step: 620 | Newton Iterations: 1
Time: 6.300 s | Step: 630 | Newton Iterations: 1
Time: 6.400 s | Step: 640 | Newton Iterations: 1
Time: 6.500 s | Step: 650 | Newton Iterations: 1
Time: 6.600 s | Step: 660 | Newton Iterations: 1
Time: 6.700 s | Step: 670 | Newton Iterations: 2
Time: 6.800 s | Step: 680 | Newton Iterations: 2
Time: 6.900 s | Step: 690 | Newton Iterations: 2
Time: 7.000 s | Step: 700 | Newton Iterations: 2
Time: 7.100 s | Step: 710 | Newton Iterations: 2
Time: 7.200 s | Step: 720 | Newton Iterations: 2
Time: 7.300 s | Step: 730 | Newton Iterations: 2
Time: 7.400 s | Step: 740 | Newton Iterations: 2
Time: 7.500 s | Step: 750 | Newton Iterations: 2
Time: 7.600 s | Step: 760 | Newton Iterations: 2
Time: 7.700 s | Step: 770 | Newton Iterations: 2
Time: 7.800 s | Step: 780 | Newton Iterations: 2
Time: 7.900 s | Step: 790 | Newton Iterations
